id,Make,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,Drive,Battery Capacity,Charge Power,Charge speed,Fastcharge Speed,Length,Width,Height,Wheelbase,Gross Vehicle Weight,Max. Payload,Cargo Volume,Seats
Nº de referencia,Empresa fabricante,KMS de autonomía en ciudad con frío,KMS de autonomía en autopista con frío,KMS de autonomía en combinado con frío,KMS de autonomía en ciudad con calor,KMS de autonomía en autopista con calor,KMS de autonomía en combinado con calor,Segundos de aceleración de 0 a 100 km/h,Velocidad Máxima,Autonomía eléctrica según fabricante,Potencia eléctrica,Fuerza del vehículo,Tipo de tracción (Delantera:1)(Trasera:2)(4X4:3),KW de capacidad de carga,KW de potencia de carga,KMs de autonomía tras una hora de carga,KMs de autonomía tras una hora de carga rápida,Longitud del vehículo,Anchura del vehículo,Altura del vehículo,Distancia entre los ejes,Peso bruto del vehículo,Carga máxima del vehículo,Volumen de carga,Nº de asientos
